Designator,Mid X,Mid Y,Rotation,Layer
BT1,139.71,-72.26,180.0,top
BT2,148.21,-72.19,180.0,bottom
BT3,157.06,-103.38,90.0,top
C1,139.475,-90.84,180.0,top
C10,145.21,-98.665,270.0,top
C11,151.73,-98.675,270.0,top
C12,156.815,-86.56,0.0,top
C13,144.65,-81.925,90.0,top
C14,139.505,-94.07,180.0,top
C15,143.53,-98.675,270.0,top
C16,156.66,-83.34,0.0,top
C17,139.31,-95.91,180.0,top
C18,186.83,-101.61,0.0,top
C19,102.81,-71.245,270.0,top
C2,131.627113,-77.27,180.0,top
C20,162.83,-80.475,270.0,top
C21,106.28,-75.78,270.0,top
C22,107.57,-63.93,90.0,top
C23,116.86,-67.985,270.0,top
C24,168.92,-80.465,270.0,top
C25,159.51,-92.24,180.0,top
C26,181.28,-101.09,0.0,top
C27,159.315,-90.39,180.0,top
C28,181.115,-102.93,0.0,top
C29,109.43,-67.105,90.0,top
C3,130.285,-87.15,180.0,top
C30,189.935,-108.03,0.0,top
C31,125.315,-94.97,0.0,top
C32,131.39,-71.495,270.0,top
C33,125.315,-93.27,0.0,top
C34,189.935,-109.63,0.0,top
C35,159.51,-94.37,180.0,top
C36,159.295,-96.19,0.0,top
C37,128.59,-71.525,270.0,top
C38,125.465,-75.71,0.0,top
C39,125.77,-71.545,270.0,top
C4,130.275,-90.94,180.0,top
C40,125.465,-74.09,0.0,top
C41,155.01,-114.515,270.0,top
C42,149.78,-115.175,270.0,top
C43,140.13,-100.955,270.0,top
C44,136.61,-100.84,90.0,top
C5,131.602113,-79.17,180.0,top
C6,109.74,-102.59,180.0,top
C7,114.295,-105.7,180.0,top
C8,122.445,-100.69,0.0,top
C9,122.24,-116.72,180.0,top
D1,186.835,-77.5,0.0,top
D10,121.77,-77.995,270.0,top
D11,159.81,-108.6825,270.0,top
D12,149.77,-118.2375,270.0,top
D2,185.1175,-82.45,180.0,top
D3,114.405,-108.62,180.0,top
D4,127.95,-110.555,270.0,top
D5,102.5975,-80.01,180.0,top
D6,102.5975,-81.63,180.0,top
D7,154.52,-109.46,90.0,top
D8,190.145,-112.42,0.0,top
D9,102.6175,-83.25,0.0,top
H2,101.75,-116.66,180.0,top
J1,194.22,-74.575,90.0,top
J2,109.7,-90.17,270.0,top
J3,192.37,-84.81,0.0,top
J4,194.3,-105.185,90.0,top
J5,155.815,-63.75,0.0,top
J6,140.525,-63.73,0.0,top
J7,139.655,-113.49,0.0,top
L1,121.87,-111.17,90.0,top
L2,139.4975,-92.43,0.0,top
L3,116.66,-87.86,90.0,top
Q1,111.565,-114.455,180.0,top
Q2,184.6925,-89.94,0.0,top
R1,138.48,-100.8775,90.0,top
R10,120.785,-95.68,180.0,top
R11,120.785,-97.25,0.0,top
R12,158.15,-114.515,90.0,top
R13,102.83,-74.815,270.0,top
R14,101.17,-71.245,270.0,top
R15,105.79,-67.53,90.0,top
R16,101.18,-74.805,270.0,top
R17,186.825,-103.18,180.0,top
R18,105.855,-81.63,180.0,top
R19,105.835,-79.99,0.0,top
R2,185.125,-84.11,180.0,top
R20,185.125,-87.31,180.0,top
R21,185.12,-85.69,0.0,top
R22,118.49,-67.985,90.0,top
R23,156.58,-108.675,90.0,top
R24,186.6675,-104.75,180.0,top
R25,186.6575,-106.31,180.0,top
R26,122.115,-93.27,180.0,top
R27,105.845,-83.22,180.0,top
R28,158.16,-108.68,270.0,top
R29,124.68,-80.765,270.0,top
R3,122.445,-102.33,0.0,top
R30,125.505,-83.31,0.0,top
R31,144.79,-68.795,90.0,top
R32,148.01,-68.805,90.0,top
R33,146.37,-68.795,90.0,top
R34,120.11,-67.995,270.0,top
R35,121.75,-68.005,90.0,top
R36,151.39,-118.235,270.0,top
R37,129.25,-105.455,90.0,top
R38,126.63,-105.465,90.0,top
R39,129.07,-117.095,90.0,top
R4,111.89,-97.655,90.0,top
R40,126.35,-117.125,90.0,top
R5,185.31,-71.3325,270.0,top
R6,122.445,-99.02,180.0,top
R7,122.445,-103.94,0.0,top
R8,109.255,-109.95,0.0,top
R9,159.84,-114.505,90.0,top
SW1,130.54,-99.14,180.0,top
U1,186.4325,-74.95,180.0,top
U10,129.09,-65.42,90.0,top
U11,123.884,-88.348,90.0,top
U12,152.455,-114.065,90.0,top
U2,116.505,-101.875,180.0,top
U3,148.23,-90.17,0.0,top
U4,106.2825,-71.78,90.0,top
U5,165.8625,-80.65,0.0,top
U6,178.455,-116.44,90.0,top
U7,113.275,-66.6,0.0,top
U8,171.41,-90.69,0.0,top
U9,184.615,-112.475,0.0,top
Y1,134.1,-79.13,90.0,top
Y2,134.26,-87.14,270.0,top
